Nom du fichier;Nom de la chaîne;Code Declarant;Longueur des lignes;Longueur des lignes_pourcentage;Numero d'ordre;Numero d'ordre_pourcentage;Date de debut de diffusion;Date de debut de diffusion_pourcentage;Heure de diffusion;Heure de diffusion_pourcentage;Type de titre;Type de titre_pourcentage;Titre;Titre_pourcentage;Numero de l'episode;Numero de l'episode_pourcentage;Genre de diffusion de l'oeuvre;Genre de diffusion de l'oeuvre_pourcentage;Duree de diffusion;Duree de diffusion_pourcentage;Lien;Lien_pourcentage;Nombre de passage;Nombre de passage_pourcentage;Enregistrement 99;Chemin complet
./TF1 012017.TXT;TF1;TF1;;;;;;;;;;;;;Numero de l'episode manquant;100.0%;;;;;Lien manquant;100.0%;;;L'enregistrement 99 n'est pas un nombre ;./TF1 012017.TXT
./TF11701a.TXT;TF1;TF1;;;;;;;;;;;;;;;;;;;;;;;L'enregistrement 99 n'est pas un nombre ;./TF11701a.TXT
